Datetime,eccentricity,argument of perigee,inclination,mean anomaly,Brouwer mean motion,right ascension
49:07.9,0.0001664,3.1325797733324943,0.015554374293773465,-4.721354737,0.004374556,5.297913783172999
58:22.0,0.0001648,3.1372781996788635,0.015531685,-1.798237163,0.004374547,5.297873640600203
04:54.9,0.0001725,3.093496615392586,0.015502014416213634,-5.633805888,0.00437452,5.3015719932851795
22:53.2,0.0001683,3.110607823379138,0.015465362501921754,-3.982809937,0.004374495,5.303477892828357
43:47.9,0.0001705,3.240418431825468,0.015435692,-5.319086372,0.004374481,5.305537381345711
33:04.4,0.0001705,3.2114983261199224,0.015336208137274175,-0.115275506,0.004375028,5.334724522426812
59:24.3,0.000218,3.316687574808368,0.015306538,-5.832462754,0.004375478,5.3397056921120045
06:56.7,0.0001756,3.523877355641867,0.015289084247470327,-0.493367928,0.004375463,5.339913386292991
16:22.1,0.0001705,3.5607439454317436,0.015255922991682434,-5.704083316,0.004375435,5.339792958574604
01:10.3,0.0001733,3.548866979871922,0.015226252,-5.480476968,0.004375407,5.341845465774949
33:55.3,0.0001913,3.440731615406109,0.015214035089634571,-2.604029499,0.004375397,5.342196277
23:42.1,0.0001933,3.4245175066550817,0.015165166,-4.961332273,0.004375368,5.343615229636471
49:58.1,0.0001955,3.403522941082842,0.015135495273294825,-5.596757784,0.004375353,5.3450655982448785
35:14.4,0.0001962,3.388586413344275,0.015095352700498957,-6.155846085,0.004375337,5.347254241126879
31:14.3,0.0001972,3.384378424517716,0.015065682103215051,-0.131159748,0.004375318,5.347570146
37:41.7,0.0001971,3.383797229876802,0.015034266176679155,-6.105638198,0.004375297,5.347847653072558
18:52.9,0.0002065,3.3545926355031814,0.015002850250143257,-5.091350576,0.004375276,5.34817403
37:10.9,0.0001965,3.4475104742208553,0.014980161,-3.775658554,0.004375256,5.3499211042239265
25:25.6,0.0002037,3.4204753241074632,0.014952236,-5.095715644,0.004375242,5.350477864255312
05:58.4,0.0002043,3.4160526597829097,0.014934782409315478,-0.713389369,0.004375228,5.350458665633541
20:15.3,0.0002195,3.678497819405297,0.014824826666439837,-5.615802817,0.004375179,5.362454313582497
58:18.3,0.0002247,3.5938074627815237,0.014885913190259637,-4.297587049,0.004375193,5.36304249
17:25.8,0.0002175,3.622978895899357,0.014856242592975733,-5.276327551,0.004375174,5.363635901486098
10:03.6,0.0002037,3.660538381402275,0.014826572,-5.854221774,0.004375152,5.364084451103861
30:04.3,0.0002113,3.5631315558484715,0.014812609361675876,-2.256342458,0.004375138,5.363943079434449
11:24.7,0.0002108,3.5677619143540125,0.014777702776635988,-6.246393767,0.004375112,5.3645993232331985
02:02.7,0.0001973,3.6364737816757775,0.014744541520848095,-4.763977422,0.004375084,5.364943153095842
02:12.1,0.0001978,3.625205936024902,0.014714870923564192,-4.21047243,0.004375061,5.365686663357191
42:58.6,0.0001967,3.6355417758552124,0.014686945655532283,-4.288078495,0.004375037,5.366063654475623
35:11.5,0.0001956,3.640262891481857,0.014655529728996385,-5.360241236,0.004375019,5.366573290617205
54:13.1,0.000192,3.571910561986003,0.014618877814704504,-4.667307126,0.004374991,5.3673831233901295
39:47.4,0.0001959,3.5434442418859757,0.014597933863680574,-5.211048746,0.00437497,5.368538531
25:13.7,0.000198,3.5295339677475805,0.014571753924900658,-4.456225261,0.004374946,5.368547258
